class,race_id,win_order,name,ts,stamina,sprinting,jockey,run_speed,intel,cooperation,acceleration,course_length
c,1,2,JU,81,531,0,1,1766,100,100,50,0
c,1,1,ROBER,81,557,1,0,1869,100,100,50,0
c,1,0,DARIO,88,560,0,1,1854,100,100,50,0
c,1,5,RICA,79,560,0,3,1833,100,100,50,0
c,1,4,ELEN,76,543,0,3,1833,50,100,50,0
c,1,3,LIA,74,520,1,0,1821,50,100,50,0
c,2,3,LIA,79,556,0,2,1734,100,100,50,0
c,2,0,JENNY,84,534,0,1,1799,100,100,50,0
c,2,5,LY,87,506,0,2,1826,50,100,50,0
c,2,1,RUDY,86,504,0,1,1747,50,100,50,0
c,2,2,MIKE,85,522,0,0,1735,100,100,50,0
c,2,4,SAMMY,79,557,0,2,1756,50,100,50,0
c,3,5,NANCY,76,523,1,2,1725,100,100,50,0
c,3,4,JU,81,507,0,3,1843,50,100,50,0
c,3,0,JENNY,85,501,0,3,1862,100,100,50,0
c,3,1,CLIVE,76,502,0,1,1861,50,100,50,0
c,3,2,HARVEY,79,503,0,3,1709,50,100,50,0
c,3,3,FOX,84,534,0,0,1731,50,100,50,0
c,4,4,DAN,82,515,0,1,1719,50,100,50,0
c,4,2,JU,84,542,0,3,1753,100,100,50,0
c,4,3,HARVEY,75,518,0,1,1782,100,100,50,0
c,4,5,BLUES,74,531,0,2,1886,100,100,50,0
c,4,0,TOM,85,520,0,0,1803,100,100,50,0
c,4,1,YOUNG,78,502,1,0,1825,100,100,50,0
c,5,4,PAU,81,533,0,0,1751,50,100,50,0
c,5,2,JAMES,74,546,0,0,1744,100,100,50,0
c,5,3,EDWARD,81,534,0,0,1879,50,100,50,0
c,5,0,KNIGHT,79,557,0,3,1868,100,100,50,0
c,5,1,NANCY,88,531,1,0,1780,50,100,50,0
c,5,5,PETER,80,503,0,2,1829,50,100,50,0
c,6,3,ROBER,74,513,0,2,1777,50,100,50,0
c,6,5,KNIGHT,75,553,0,2,1705,100,100,50,0
c,6,4,ROBIN,87,555,0,2,1860,50,100,50,0
c,6,0,AIMEE,74,559,0,1,1891,50,100,50,0
c,6,1,JU,77,552,1,2,1897,50,100,50,0
c,6,2,NANCY,80,501,0,2,1772,100,100,50,0
c,7,0,LY,82,536,1,1,1735,100,100,50,0
c,7,5,MIKE,81,529,1,2,1738,50,100,50,0
c,7,4,PAULA,79,549,0,0,1749,100,100,50,0
c,7,3,NANCY,78,521,0,3,1806,50,100,50,0
c,7,1,PAU,82,533,1,0,1829,100,100,50,0
c,7,2,PETER,79,513,1,3,1772,100,100,50,0
c,8,2,KNIGHT,76,557,0,3,1809,100,100,50,0
c,8,1,NANCY,87,501,0,0,1851,50,100,50,0
c,8,4,TERRY,80,552,0,2,1898,100,100,50,0
c,8,3,ROBIN,76,515,0,1,1853,100,100,50,0
c,8,5,FOX,79,542,0,2,1787,50,100,50,0
c,8,0,YOUNG,82,508,0,0,1751,100,100,50,0
c,9,2,HARVEY,82,549,0,0,1848,50,100,50,0
c,9,1,LIA,78,553,0,3,1861,100,100,50,0
c,9,0,TOM,87,557,0,1,1815,100,100,50,0
c,9,3,GEORGE,84,530,0,3,1726,100,100,50,0
c,9,4,ROBIN,86,514,0,2,1771,100,100,50,0
c,9,5,YOUNG,87,519,0,2,1733,50,100,50,0
c,10,0,TERRY,85,511,0,0,1807,50,100,50,0
